"出菇厂2月份入库报表",,,,,,,,
"时间","牛排（kg）","贵啡（kg）","香啡（kg）","白菇（kg）","白菇蕾（kg）","褐菇蕾（kg）","白次品（kg）","褐次品（kg）"
3/1/2016,1518,1015.5,595,237.9,,,,
3/2/2016,1364.5,363.5,211,570.5,,,,
3/3/2016,1101.5,21,282,1317.9,,,,
3/4/2016,1807.5,145,741.5,737.7,,,,
3/5/2016,957,445.5,1015,69.7,,,,
3/6/2016,404.5,1382.6,1035,151.7,,,,
3/7/2016,693.5,521.5,138,603.4,,,,
3/8/2016,1547.2,132,104,1141.3,,,,
3/9/2016,2801,1182,193,2204.2,,,,
3/10/2016,3186.4,1996,476,2831.3,,,,
3/11/2016,1815.5,422.5,91.2,3230.4,,,,
3/12/2016,1675.5,146,63.5,1125.6,,,,
3/13/2016,787.8,232.5,42.7,21,,,,
3/14/2016,6,3,28.5,299.7,,,,
3/15/2016,586.5,87.5,25.5,1013.7,,,,
3/16/2016,2027.5,522.5,71,2362.9,,,,
3/17/2016,4433.5,1903,513.5,3587.1,,,,
3/18/2016,3483.3,1066.7,232,3429.8,,,,
3/19/2016,979,240,294,1536.1,,,,
3/20/2016,262.5,25,560,659.7,,,,
3/21/2016,2049.5,297,55.5,2075.3,,,,
3/22/2016,2178,367.5,205.7,2198.1,,,,
3/23/2016,739.5,198.5,78.5,2399,,,,
3/24/2016,2782.4,192.8,19,2071,,,,
3/25/2016,4278.6,1135.3,292.5,2392,,,,
3/26/2016,2157.5,939,338.5,2576.1,,,,
3/27/2016,174.6,274,260.5,1066.9,,,,
3/28/2016,47,0,0,584.2,,,,
3/29/2016,974.2,66.7,25.7,1729.2,,,,
3/30/2016,,,,,,,,
3/31/2016,,,,,,,,
"总计：",46819.5,15324.1,7988.3,44223.4,0,0,0,0
