"菇房号","采菇工工号","8-9cm","9-10cm","贵啡","香啡","白菇",,,,"菇蕾","次品",
,,,,,,"箱子","篮子","大白","小白",,"白菇","褐菇"
"3#",28,47,,31,3.5,,,,,,,17
"39#",82,18,,7,1,,902,,225.5,,,
"35#",66,648,,138.5,24.5,,,,,,,32
"4#",30,76.5,,81,6.5,,,,,60,,3
"62#",120,,,,,36.5,,,,,3,
"34#",75,38,,138,6,,,,,,,
"41#",39,,,,,,1138.2,,354,,,
"67#",27,,,,,93.7,,,,,,
"66#",121,,,,,163,,,,21,,
,30,,,,,317.5,,,,8,,
"23#",66,584,,27,,,,,,48,,6
"22#",39,400,4,,49.7,,,,,,,6.8
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"合计：",1811.5,4,422.5,91.2,610.7,2040.2,0,579.5,137,,64.8
