"菇房号","采菇工工号","牛排",,"贵啡",,"香啡",,"白菇",,,"菇蕾",,"次品",
,,"8-9cm","9-10cm","7-8cm","6-7cm","5-6cm","4-5cm","切根","带根","筐子","白菇","褐菇","白菇","褐菇"
"7#",120,1425,,106.5,99.5,35,20,,,,,,,10
"8#",30,720,,261,106.2,1.5,,,,,,10,,56
"31#",27,1,,,,,,,6.5,,,,,
"6#",28,16,,,,,,1093,,,,54,,2
"5#",82,,,,,,,804.2,,,14,,12,
"68#",121,,,,,,,77,12.2,,8,,3,
,30,,,,,,,115,,,12,,5,
"67#",24,,,,,,,33.7,,,,,23,
"10#",75,11.5,,,,,,,,,,,,
"4#",30,,,,,,,,,,,,,30
"30#",121,4.5,,,,,,,,,,,,5
"34#",75,,,,,,,,,,,30,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"合计：",2178,0,367.5,205.7,36.5,20,2122.9,18.7,0,34,94,43,103
