"菇房号","采菇工工号","牛排",,"贵啡",,"香啡",,"白菇",,,"菇蕾",,"次品",
,,"8-9cm","9-10cm","7-8cm","6-7cm","5-6cm","4-5cm","切根","带根","筐子","白菇","褐菇","白菇","褐菇"
"6#",28,,,,,,,18.2,,,,,,
"13#",120,,,,,,,,31.5,,,,,
"34#",75,42,,25,17,66,103,,,,,,,35
"5#",82,,,,,,,363.2,,,,,5.5,
"41#",,,,,,,,129.7,3.7,,130,,21,
"35#",66,132.6,,249,243.5,38,82,,,,,40,,24
"67#",27,,,,,,,124.6,,,30,,,
"3#",28,,,,,,107,,,,,90,,23
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"合计：",174.6,0,274,260.5,104,292,635.7,35.2,0,160,130,26.5,82
