"菇房号","采菇工工号","8-9cm","9-10cm","贵啡","香啡","白菇",,,,"菇蕾","次品",
,,,,,,"箱子","篮子","大白","小白",,"白菇","褐菇"
"25#",30,97,,10.5,,,,,,,,
"14#",82,,,,533.5,,,,,,,
"23#",66,148,,76.5,11,,,,,,,
"15#",75,,,,164.5,,,,,,,
"66#",30,,,,,,6,,60,,3.7,
"22#",39,673,17,317.5,190,,,,,119,,130
"48#",39,,,,116,,,,,,,
"26#",120,1.5,,8,,,,,,80,,
"17#",24,,,,,,,,,30,,
"27#",66,20.5,,33,,,,,,91,,3.5
"67#",27,,,,,,3.7,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"合计：",940,17,445.5,1015,0,9.7,0,60,320,,133.5
